Departure,Airport Name,City Name,Country Name,Lat,Long
KAKR,Akron Fulton International Airport,Akron,USA,41.038,-81.467
KALB,Albany International Airport,Albany,USA,42.748,-73.803
KABY,Southwest Georgia Regional Airport,Albany,USA,31.535,-84.195
KAXN,Chandler Field,Alexandria,USA,45.866,-95.395
KABE,Lehigh Valley International Airport,Allentown,USA,40.652,-75.441
KAMA,Rick Husband Amarillo International Airport,Amarillo,USA,35.219,-101.706
KAND,Anderson Regional Airport,Andersen,USA,34.495,-82.709
KATW,Appleton International Airport,Appleton,USA,44.258,-88.519
KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,USA,40.978,-124.109
KAVL,Asheville Regional Airport,Asheville,USA,35.436,-82.542
KASE,Aspen-Pitkin Co/Sardy Field,Aspen,USA,39.223,-106.869
KAHN,Athens Ben Epps Airport,Athens,USA,33.949,-83.326
KRYY,Cobb County-Mc Collum Field,Atlanta,USA,34.013,-84.599
KPDK,Dekalb Peachtree Airport,Atlanta,USA,33.876,-84.302
KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,USA,33.640,-84.427
KACY,Atlantic City International Airport,Atlantic City,USA,39.458,-74.577
KLEW,Auburn Lewiston Municipal Airport,Auburn/Lewiston,USA,44.049,-70.284
KAUS,Austin Bergstrom International Airport,Austin,USA,30.194,-97.670
KEDC,Austin Executive Airport,Austin,USA,30.397,-97.566
KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,USA,39.175,-76.668
KBHB,Hancock County-Bar Harbor Airport,Bar Harbor,USA,44.450,-68.362
KBOW,Bartow Executive Airport,Bartow,USA,27.943,-81.783
KBTR,Baton Rouge Metropolitan Airport,Baton Rouge,USA,30.533,-91.149
KBTL,W K Kellogg Airport,Battle Creek,USA,42.307,-85.252
KBED,Laurence G Hanscom Field,Bedford,USA,42.470,-71.289
KBLM,Monmouth Executive Airport,Belmar/Farmingdale,USA,40.187,-74.125
KBDN,Bend Municipal Airport,Bend,USA,44.095,-121.201
KEKY,Bessemer Airport,Bessemer,USA,33.313,-86.926
KBVY,Beverly Municipal Airport,Beverly,USA,42.584,-70.916
KBGM,Greater Binghamton/Edwin A Link Field,Binghamton,USA,42.209,-75.980
KBOI,Boise Air Terminal/Gowen Field,Boise,USA,43.564,-116.223
KBOS,General Edward Lawrence Logan International Airport,Boston,USA,42.364,-71.005
KBZN,Gallatin Field,Bozeman,USA,45.778,-111.153
KBFD,Bradford Regional Airport,Bradford,USA,41.803,-78.640
KBRD,Brainerd Lakes Regional Airport,Brainerd,USA,46.398,-94.138
KBBG,Branson Airport,Branson,USA,36.532,-93.201
KTRI,Tri-Cities Regional Tn/Va Airport,Bristol/Johnson/Kingsport,USA,36.475,-82.407
KBRO,Brownsville South Padre Island International Airport,Brownsville,USA,25.907,-97.426
KBXM,Brunswick Executive Airport,Brunswick,USA,43.892,-69.939
KBUF,Buffalo Niagara International Airport,Buffalo,USA,42.940,-78.732
KBUR,Bob Hope Airport,Burbank,USA,34.201,-118.359
KBTV,Burlington International Airport,Burlington,USA,44.472,-73.153
KAGS,Augusta Regional At Bush Field,Bush Field,USA,33.370,-81.964
KBTM,Bert Mooney Airport,Butte,USA,45.955,-112.497
KCNI,Cherokee County Airport,Canton,USA,34.311,-84.424
KCRQ,Mc Clellan-Palomar Airport,Carlsbad,USA,33.128,-117.280
KVPC,Cartersville Airport,Cartersville,USA,34.123,-84.849
KCHS,Charleston Air Force Base-International Airport,Charleston,USA,32.899,-80.040
KJZI,Charleston Executive Airport,Charleston,USA,32.701,-80.003
KCLT,Charlotte Douglas International Airport,Charlotte,USA,35.214,-80.943
KCHA,Lovell Field,Chattanooga,USA,35.035,-85.204
KMDW,Chicago Midway International Airport,Chicago,USA,41.786,-87.752
KORD,Chicago O'Hare International Airport,Chicago,USA,41.979,-87.904
KUGN,Waukegan National Airport,Chicago,USA,42.422,-87.868
KPWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,USA,42.114,-87.901
KRFD,Chicago Rockford International Airport,Chicago/Rockford,USA,42.195,-89.097
KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,USA,39.103,-84.419
KCVG,Cincinnati Northern Kentucky International Airport,Cincinnati,USA,39.046,-84.662
KCKV,Clarksville�Montgomery County Regional Airport,Clarksville,USA,36.622,-87.415
KCEU,Oconee County Regional Airport,Clemson,USA,34.672,-82.886
KBKL,Burke Lakefront Airport,Cleveland,USA,41.518,-81.683
KCLE,Cleveland Hopkins International Airport,Cleveland,USA,41.412,-81.850
KCGF,Cuyahoga County Airport,Cleveland,USA,41.565,-81.486
